instituicao;municipio;uf;populacao;coluna;conta;identificador da conta;receita_anual
Prefeitura Municipal de Urï¿½nia - SP;URANIA;SP;9125;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;45315908.43
Prefeitura Municipal de Marabï¿½ Paulista - SP;MARABA PAULISTA;SP;6039;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40658912.45
Prefeitura Municipal de Santana de Parnaï¿½ba - SP;SANTANA DE PARNAIBA;SP;145073;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;1697184988.89
Prefeitura Municipal de Getulina - SP;GETULINA;SP;11485;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;64527662.73
Prefeitura Municipal de Iepï¿½ - SP;IEPE;SP;8228;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;65333681.35
Prefeitura Municipal de Glicï¿½rio - SP;GLICERIO;SP;4842;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;42870251.26
Prefeitura Municipal de Altair - SP;ALTAIR;SP;4211;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;37448931.16
Prefeitura Municipal de Anhembi - SP;ANHEMBI;SP;6911;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;58027521.76
Prefeitura Municipal de Bariri - SP;BARIRI;SP;35844;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;167483775.31
Prefeitura Municipal de Borebi - SP;BOREBI;SP;2713;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;40460809.85
Prefeitura Municipal de Campo Limpo Paulista - SP;CAMPO LIMPO PAULISTA;SP;86407;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;355791075.03
Prefeitura Municipal de Guaraci - SP;GUARACI;SP;11382;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;105227554.45
Prefeitura Municipal de Itupeva - SP;ITUPEVA;SP;64330;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;570427639.54
Prefeitura Municipal de Urupï¿½s - SP;URUPES;SP;13965;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;85197511.27
Prefeitura Municipal de Planalto - SP;PLANALTO;SP;5370;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;50383687.37
Prefeitura Municipal de Avarï¿½ - SP;AVARE;SP;91792;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;493529160.09
Prefeitura Municipal de Taquaritinga - SP;TAQUARITINGA;SP;57547;Receitas Brutas Realizadas;TOTAL DAS RECEITAS (III) = (I + II);siconfi-cor_TotalReceitas;291715044.39
